# Fig. 2C - total phosphorylation (Eq. 2) vs log10([E]/[F]), N = 1..20 sites
# reaction-limited regime, with enzyme refractory state
# Dushek O, van der Merwe PA, Shahrezaei V (2011) Biophysical Journal 100:1189-1197. doi:10.1016/j.bpj.2011.01.060
# Digitized by digitize_dushek2011.py from the vector paths of page 4.
# Series identity is drawing order, cross-checked against the MATLAB colour cycle and against curve nesting; the axes calibration is validated on the exact 0.5 crossing at log10([E]/[F]) = 0.
n_sites,log10_E_over_F,total_phosphorylation
16,-0.310005,0.333781
16,-0.24226,0.367871
16,-0.17454,0.404591
16,-0.106795,0.442627
16,-0.0390744,0.480663
16,0.0286711,0.520005
16,0.0964158,0.55804
16,0.162419,0.596067
16,0.230164,0.632787
16,0.297909,0.666886
16,0.36563,0.699679
16,0.433374,0.72984
16,0.501095,0.758048
16,0.56884,0.783615
16,0.636585,0.80656
16,0.70433,0.826894
16,0.772075,0.845254
16,0.83982,0.861641
16,0.907541,0.876073
16,0.975286,0.888524
16,1.04303,0.89901
16,1.11078,0.908848
16,1.1785,0.917388
16,1.24447,0.924586
16,1.37994,0.936379
16,1.44769,0.940982
16,1.51541,0.94491
16,1.6509,0.951478
16,1.71862,0.95409
16,1.78636,0.956063
16,1.85411,0.958018
16,1.98957,0.960658
17,-2,0.0380359
17,-1.93397,0.039342
17,-1.86625,0.0406574
17,-1.79851,0.0426213
17,-1.73076,0.0452431
17,-1.66302,0.0472067
17,-1.52755,0.0537746
17,-1.45981,0.0577021
17,-1.39209,0.0622968
17,-1.2566,0.0740987
17,-1.18888,0.0813148
17,-1.12113,0.0898373
17,-1.05339,0.0990174
17,-0.98564,0.110161
17,-0.919662,0.12263
17,-0.851917,0.137044
17,-0.784171,0.15344
17,-0.716451,0.1718
17,-0.648706,0.192134
17,-0.580961,0.215079
17,-0.513216,0.240665
17,-0.445495,0.268863
17,-0.37775,0.299682
17,-0.310005,0.332466
17,-0.24226,0.367222
17,-0.17454,0.403943
17,-0.106795,0.441969
17,-0.0390744,0.480663
17,0.0286711,0.520005
17,0.0964158,0.558689
17,0.162419,0.596725
17,0.230164,0.633445
17,0.297909,0.668202
17,0.36563,0.700985
17,0.433374,0.731814
17,0.501095,0.760002
17,0.56884,0.785579
17,0.636585,0.808525
17,0.70433,0.828858
17,0.772075,0.847218
17,0.83982,0.863605
17,0.907541,0.878047
17,0.975286,0.890488
17,1.04303,0.90165
17,1.11078,0.910821
17,1.1785,0.919343
17,1.24447,0.926559
17,1.37994,0.938352
17,1.44769,0.942956
17,1.51541,0.946884
17,1.6509,0.953433
17,1.71862,0.955406
17,1.78636,0.958018
17,1.85411,0.959991
17,1.98957,0.962622
18,-2,0.0360627
18,-1.93397,0.0373781
18,-1.73076,0.0432698
18,-1.66302,0.0459097
18,-1.5953,0.0485221
18,-1.45981,0.0563868
18,-1.39209,0.0609814
18,-1.32434,0.0662247
18,-1.2566,0.0721348
18,-1.18888,0.0793416
18,-1.12113,0.0878641
18,-1.05339,0.0977017
18,-0.98564,0.108188
18,-0.919662,0.121305
18,-0.851917,0.135089
18,-0.784171,0.151467
18,-0.716451,0.169836
18,-0.648706,0.190818
18,-0.580961,0.213782
18,-0.513216,0.239349
18,-0.445495,0.267538
18,-0.37775,0.297709
18,-0.310005,0.331159
18,-0.24226,0.365907
18,-0.17454,0.403285
18,-0.106795,0.441321
18,-0.0390744,0.480663
18,0.0964158,0.559347
18,0.162419,0.597382
18,0.230164,0.63476
18,0.297909,0.669517
18,0.36563,0.702958
18,0.433374,0.73312
18,0.501095,0.761309
18,0.56884,0.786885
18,0.636585,0.80984
18,0.70433,0.830831
18,0.772075,0.849182
18,0.83982,0.865569
18,0.907541,0.879343
18,0.975286,0.892461
18,1.04303,0.902947
18,1.11078,0.912785
18,1.1785,0.921316
18,1.24447,0.928514
18,1.31222,0.934424
18,1.37994,0.939676
18,1.44769,0.944253
18,1.58315,0.952127
18,1.71862,0.95737
18,1.92183,0.963271
18,1.98957,0.964586
19,-2,0.0347473
19,-1.93397,0.0360627
19,-1.86625,0.0373781
19,-1.79851,0.039342
19,-1.73076,0.0419728
19,-1.5953,0.0472067
19,-1.52755,0.0504953
19,-1.45981,0.0544228
19,-1.39209,0.0590175
19,-1.32434,0.0649093
19,-1.2566,0.0708194
19,-1.18888,0.0780262
19,-1.12113,0.0865487
19,-1.05339,0.0957288
19,-0.98564,0.106891
19,-0.919662,0.119341
19,-0.851917,0.133764
19,-0.784171,0.150161
19,-0.716451,0.168521
19,-0.648706,0.188845
19,-0.580961,0.211809
19,-0.513216,0.237376
19,-0.445495,0.266241
19,-0.37775,0.296403
19,-0.310005,0.329844
19,-0.24226,0.365249
19,-0.17454,0.402627
19,-0.106795,0.440663
19,-0.0390744,0.480663
19,0.0286711,0.520005
19,0.0964158,0.560013
19,0.162419,0.598031
19,0.230164,0.635409
19,0.297909,0.670823
19,0.36563,0.704264
19,0.433374,0.734435
19,0.501095,0.763282
19,0.56884,0.788858
19,0.636585,0.811804
19,0.70433,0.832137
19,0.772075,0.850497
19,0.83982,0.866893
19,0.907541,0.881298
19,0.975286,0.893767
19,1.04303,0.904911
19,1.11078,0.9141
19,1.1785,0.922613
19,1.24447,0.929829
19,1.37994,0.941631
19,1.44769,0.946226
19,1.51541,0.950153
19,1.58315,0.953433
19,1.78636,0.961307
19,1.85411,0.963271
19,1.98957,0.965892
