condition,time,Obs_pSTAT3,Obs_pSTAT1
il6_10_il10_10,25,0.1111,0.0055976
il6_10_il10_10,26,0.11031,0.0054191
il6_10_il10_10,27,0.10943,0.0052258
il6_10_il10_10,28,0.10845,0.0050204
il6_10_il10_10,29,0.10739,0.0048054
il6_10_il10_10,30,0.10623,0.0045837
il6_10_il10_10,31,0.10498,0.0043579
il6_10_il10_10,32,0.10364,0.0041306
il6_10_il10_10,33,0.10223,0.0039042
il6_10_il10_10,34,0.10074,0.0036809
il6_10_il10_10,35,0.09919,0.0034626
il6_10_il10_10,36,0.097593,0.003251
il6_10_il10_10,37,0.095959,0.0030473
il6_10_il10_10,38,0.094299,0.0028526
il6_10_il10_10,39,0.092627,0.0026675
il6_10_il10_10,40,0.090954,0.0024924
il6_10_il10_10,41,0.089291,0.0023275
il6_10_il10_10,42,0.087651,0.002173
il6_10_il10_10,43,0.086046,0.0020288
il6_10_il10_10,44,0.084484,0.0018946
il6_10_il10_10,45,0.082977,0.0017703
il6_10_il10_10,46,0.081533,0.0016556
il6_10_il10_10,47,0.080159,0.00155
il6_10_il10_10,48,0.07886,0.0014531
il6_10_il10_10,49,0.077642,0.0013646
il6_10_il10_10,50,0.076507,0.0012839
il6_10_il10_10,51,0.075456,0.0012107
il6_10_il10_10,52,0.074491,0.0011444
il6_10_il10_10,53,0.07361,0.0010846
il6_10_il10_10,54,0.072812,0.0010308
il6_10_il10_10,55,0.072094,0.00098264
il6_10_il10_10,56,0.071453,0.00093958
il6_10_il10_10,57,0.070885,0.00090124
il6_10_il10_10,58,0.070385,0.00086722
il6_10_il10_10,59,0.069947,0.00083713
il6_10_il10_10,60,0.069566,0.00081059
il6_10_il10_10,61,0.069238,0.00078726
il6_10_il10_10,62,0.068955,0.00076681
il6_10_il10_10,63,0.068713,0.00074893
il6_10_il10_10,64,0.068505,0.00073332
il6_10_il10_10,65,0.068326,0.00071972
il6_10_il10_10,66,0.068172,0.00070787
il6_10_il10_10,67,0.068037,0.00069754
il6_10_il10_10,68,0.067916,0.00068852
il6_10_il10_10,69,0.067806,0.00068061
il6_10_il10_10,70,0.067702,0.00067363
il6_10_il10_10,71,0.067602,0.00066743
il6_10_il10_10,72,0.067502,0.00066186
il6_10_il10_10,73,0.067399,0.00065679
il6_10_il10_10,74,0.067292,0.00065211
il6_10_il10_10,75,0.067177,0.00064772
il6_10_il10_10,76,0.067054,0.00064353
il6_10_il10_10,77,0.066921,0.00063947
il6_10_il10_10,78,0.066777,0.00063546
il6_10_il10_10,79,0.066621,0.00063147
il6_10_il10_10,80,0.066453,0.00062743
il6_10_il10_10,81,0.066271,0.00062332
il6_10_il10_10,82,0.066076,0.00061911
il6_10_il10_10,83,0.065868,0.00061476
il6_10_il10_10,84,0.065647,0.00061028
il6_10_il10_10,85,0.065413,0.00060564
il6_10_il10_10,86,0.065166,0.00060084
il6_10_il10_10,87,0.064907,0.00059588
il6_10_il10_10,88,0.064635,0.00059075
il6_10_il10_10,89,0.064352,0.00058547
il6_10_il10_10,90,0.064058,0.00058004
