Stot_molecules,R_active_MAPK_molecules
4.239238528004690306e+04,2.366863905325443557e+04
4.321229389335010637e+04,2.396449704142011979e+04
4.404806031058974622e+04,2.426035502958579673e+04
4.489999123661268095e+04,2.455621301775148095e+04
4.576839930822606402e+04,2.485207100591715789e+04
4.665360320892700838e+04,2.514792899408284211e+04
4.755592778585128690e+04,2.573964497041419963e+04
4.847570416898386611e+04,2.603550295857988021e+04
4.941326989267517638e+04,2.633136094674556443e+04
5.036896901950749452e+04,2.662721893491124501e+04
5.134315226655716106e+04,2.692307692307692196e+04
5.233617713409868884e+04,2.751479289940828676e+04
5.334840803679825331e+04,2.781065088757396370e+04
5.438021643744449830e+04,2.810650887573964428e+04
5.543198098326587206e+04,2.840236686390532486e+04
5.650408764488443558e+04,2.884615384615384392e+04
5.759692985795720597e+04,2.928994082840236661e+04
5.871090866755692696e+04,2.958579881656804719e+04
5.984643287534536648e+04,2.988165680473373141e+04
6.100391918959301256e+04,3.032544378698224682e+04
6.218379237810033374e+04,3.076923076923076951e+04
6.338648542407668720e+04,3.106508875739644645e+04
6.461243968503401265e+04,3.136094674556213067e+04
6.586210505475378886e+04,3.180473372781065336e+04
6.713594012838645722e+04,3.224852071005916878e+04
6.843441237074411765e+04,3.254437869822485300e+04
6.975799828784810961e+04,3.284023668639053358e+04
7.110718360179450247e+04,3.343195266272189474e+04
7.248246342900169839e+04,3.372781065088757168e+04
7.388434246190538397e+04,3.402366863905325590e+04
7.531333515416779846e+04,3.431952662721893284e+04
7.676996590946897049e+04,3.476331360946745554e+04
7.825476927394946688e+04,3.520710059171597823e+04
7.976829013237508480e+04,3.550295857988165517e+04
8.131108390809560660e+04,3.579881656804733939e+04
8.288371676687098807e+04,3.609467455621301633e+04
8.448676582463952946e+04,3.668639053254437749e+04
8.612081935930480540e+04,3.698224852071006171e+04
8.778647702661842050e+04,3.727810650887573865e+04
8.948435008023840783e+04,3.757396449704141560e+04
9.121506159604358254e+04,3.786982248520709982e+04
9.297924670078641793e+04,3.831360946745562251e+04
9.477755280516832136e+04,3.875739644970413792e+04
9.661063984142274421e+04,3.905325443786982214e+04
9.847918050549335021e+04,3.934911242603550636e+04
1.003838605038962560e+05,3.964497041420118330e+04
1.023253788053566677e+05,3.994082840236686025e+04
1.043044478973125078e+05,4.023668639053254446e+04
1.063217940473790950e+05,4.053254437869822868e+04
1.083781575698706147e+05,4.082840236686390563e+04
1.104742930974766350e+05,4.112426035502958257e+04
1.126109698581928242e+05,4.142011834319526679e+04
1.147889719576080242e+05,4.171597633136095101e+04
1.170090986666507670e+05,4.201183431952662795e+04
1.192721647149013297e+05,4.230769230769230489e+04
1.215790005895765498e+05,4.260355029585798911e+04
1.239304528402973374e+05,4.275147928994082758e+04
1.263273843897506886e+05,4.304733727810650453e+04
1.287706748503601848e+05,4.319526627218935027e+04
1.312612208470812184e+05,4.349112426035502722e+04
1.337999363464393246e+05,4.363905325443787297e+04
1.363877529919325316e+05,4.393491124260354991e+04
1.390256204459205037e+05,4.408284023668638838e+04
1.417145067381264817e+05,4.423076923076922685e+04
1.444553986208791612e+05,4.452662721893491107e+04
1.472493019312256365e+05,4.452662721893491107e+04
1.500972419600477733e+05,4.482248520710059529e+04
1.530002638283176348e+05,4.482248520710059529e+04
1.559594328706301749e+05,4.482248520710059529e+04
1.589758350261535670e+05,4.497041420118343376e+04
1.620505772371412313e+05,4.511834319526627223e+04
1.651847878551511094e+05,4.511834319526627223e+04
1.683796170551217801e+05,4.511834319526627223e+04
1.716362372574572219e+05,4.511834319526627223e+04
1.749558435582750826e+05,4.526627218934911070e+04
1.783396541679761140e+05,4.541420118343194918e+04
1.817889108582964400e+05,4.541420118343194918e+04
1.853048794180056721e+05,4.541420118343194918e+04
1.888888501174191188e+05,4.541420118343194918e+04
1.925421381818938535e+05,4.541420118343194918e+04
1.962660842744826514e+05,4.541420118343194918e+04
2.000620549879230675e+05,4.541420118343194918e+04
2.039314433461418084e+05,4.541420118343194918e+04
2.078756693154588866e+05,4.541420118343194918e+04
2.118961803256788116e+05,4.541420118343194918e+04
2.159944518012602057e+05,4.511834319526627223e+04
2.201719877027588082e+05,4.511834319526627223e+04
2.244303210787423886e+05,4.497041420118343376e+04
2.287710146283802751e+05,4.482248520710059529e+04
2.331956612749139313e+05,4.467455621301774954e+04
2.377058847502188291e+05,4.452662721893491107e+04
2.423033401906725776e+05,4.423076923076922685e+04
2.469897147445473820e+05,4.408284023668638838e+04
2.517667281911502942e+05,4.378698224852071144e+04
2.566361335719381168e+05,4.363905325443787297e+04
2.615997178338386002e+05,4.334319526627218875e+04
2.666593024850143120e+05,4.319526627218935027e+04
2.718167442633091705e+05,4.289940828402367333e+04
2.770739358176239766e+05,4.260355029585798911e+04
2.824328064024696941e+05,4.230769230769230489e+04
2.878953225859545055e+05,4.201183431952662795e+04
2.934634889714641031e+05,4.171597633136095101e+04
2.991393489332993631e+05,4.112426035502958257e+04
3.049249853665425908e+05,4.082840236686390563e+04
3.108225214514266117e+05,4.053254437869822868e+04
3.168341214324872126e+05,4.023668639053254446e+04
3.229619914127857774e+05,3.964497041420118330e+04
3.292083801634921692e+05,3.934911242603550636e+04
3.355755799491265207e+05,3.890532544378698367e+04
3.420659273687610985e+05,3.846153846153846098e+04
3.486818042134924908e+05,3.801775147928993829e+04
3.554256383404979133e+05,3.757396449704141560e+04
3.622999045639964752e+05,3.713017751479290018e+04
3.693071255634424160e+05,3.668639053254437749e+04
3.764498728092841338e+05,3.624260355029586208e+04
3.837307675066273659e+05,3.565088757396449364e+04
3.911524815571509534e+05,3.520710059171597823e+04
3.987177385396255995e+05,3.476331360946745554e+04
4.064293147093978478e+05,3.417159763313609437e+04
4.142900400172044756e+05,3.357988165680473321e+04
4.223027991476918687e+05,3.313609467455621780e+04
4.304705325780212879e+05,3.269230769230769147e+04
4.387962376569487387e+05,3.210059171597633031e+04
4.472829697047750233e+05,3.150887573964496914e+04
4.559338431345697609e+05,3.091715976331361162e+04
4.647520325950815459e+05,3.047337278106508893e+04
4.737407741357523482e+05,2.988165680473373141e+04
4.829033663942646817e+05,2.943786982248520872e+04
4.922431718070582720e+05,2.884615384615384392e+04
5.017636178432537708e+05,2.825443786982248639e+04
5.114681982624522061e+05,2.766272189349112523e+04
5.213604743968512048e+05,2.707100591715976407e+04
5.314440764581634430e+05,2.662721893491124501e+04
5.417227048698113067e+05,2.603550295857988021e+04
5.522001316248876974e+05,2.559171597633135752e+04
5.628802016703801928e+05,2.500000000000000000e+04
5.737668343181686942e+05,2.440828402366863884e+04
5.848640246833119309e+05,2.381656804733727768e+04
5.961758451501525706e+05,2.322485207100591651e+04
6.077064468667772599e+05,2.292899408284023593e+04
6.194600612683824729e+05,2.233727810650887477e+04
6.314410016301019350e+05,2.174556213017751361e+04
6.436536646498685004e+05,2.115384615384615245e+04
6.561025320618890692e+05,2.085798816568047550e+04
6.687921722813268425e+05,2.026627218934911434e+04
6.817272420807918534e+05,1.967455621301775318e+04
6.949124882992574712e+05,1.908284023668639202e+04
7.083527495840287302e+05,1.878698224852070780e+04
