# Digitized from Fig. 2H of Smith GR, Shanley DP (2013), BMC Systems Biology 7:41,
# doi:10.1186/1752-0509-7-41. The published PDF page was rendered at 400 dpi with
# pdftoppm; the axis frame and tick marks were located by pixel run detection and
# used for a linear (or log) calibration; each plotted curve was then traced column
# by column, selecting at each column the colour-matched pixel run closest to the
# previous column's centre so that data markers, error bars and legend keys do not
# capture the trace.
# Insulin dose 1 uM; the horizontal axis is calibrated on the decade ticks.
external_ROS_M,fraction_DNA_bound_FOXO
1.35815e-05,0.349593
1.39479e-05,0.350407
1.43242e-05,0.35122
1.47106e-05,0.352033
1.51074e-05,0.352846
1.5515e-05,0.353659
1.59335e-05,0.354472
1.63634e-05,0.355285
1.68048e-05,0.355285
1.72581e-05,0.356098
1.77237e-05,0.356911
1.82019e-05,0.357724
1.86929e-05,0.358537
1.91972e-05,0.35935
1.9715e-05,0.360163
2.02469e-05,0.360976
2.07931e-05,0.361789
2.1354e-05,0.361789
2.19301e-05,0.363415
2.25217e-05,0.363415
2.31293e-05,0.364228
2.37532e-05,0.365041
2.4394e-05,0.365854
2.50521e-05,0.366667
2.57279e-05,0.36748
2.6422e-05,0.368293
2.71348e-05,0.369106
2.78668e-05,0.369919
2.86185e-05,0.370732
2.93906e-05,0.370732
3.01834e-05,0.371545
3.09977e-05,0.372358
3.18339e-05,0.371545
3.26927e-05,0.370732
3.35747e-05,0.369919
3.44804e-05,0.368293
3.54106e-05,0.366667
3.63658e-05,0.365041
3.73469e-05,0.364228
3.83544e-05,0.362602
3.93891e-05,0.360976
4.04517e-05,0.35935
4.15429e-05,0.357724
4.26636e-05,0.356098
4.38146e-05,0.354472
4.49965e-05,0.352846
4.62104e-05,0.35122
4.7457e-05,0.349593
4.87373e-05,0.347967
5.00521e-05,0.346341
5.14023e-05,0.344715
5.2789e-05,0.343089
5.42131e-05,0.341463
5.56756e-05,0.339837
5.71775e-05,0.338211
5.872e-05,0.336585
6.03041e-05,0.334959
6.19309e-05,0.333333
6.36016e-05,0.331707
6.53174e-05,0.330081
6.70795e-05,0.328455
6.88891e-05,0.326829
7.07475e-05,0.325203
7.2656e-05,0.323577
7.46161e-05,0.321951
7.6629e-05,0.320325
7.86962e-05,0.318699
8.08192e-05,0.317073
8.29994e-05,0.315447
8.52385e-05,0.313821
8.7538e-05,0.312195
8.98995e-05,0.310569
9.23247e-05,0.308943
9.48153e-05,0.307317
9.73732e-05,0.306504
0.0001,0.304878
0.000102698,0.304878
0.000105468,0.304878
