E2f_AU,CycA_ss_AU
0.5856,0.1218
0.5856,0.1269
0.5856,0.132
0.5856,0.1371
0.5856,0.1421
0.5856,0.1472
0.5856,0.1523
0.5856,0.1574
0.5856,0.1624
0.5856,0.7513
0.5856,0.7563
0.5856,0.7614
0.5856,0.7665
0.5856,0.7716
0.5856,0.7766
0.5912,0.1218
0.5912,0.1269
0.5912,0.132
0.5912,0.1371
0.5912,0.1421
0.5912,0.1472
0.5912,0.1523
0.5912,0.1574
0.5912,0.1624
0.5912,0.7563
0.5912,0.7614
0.5912,0.7665
0.5912,0.7716
0.5912,0.7766
0.5912,0.7817
0.5967,0.1371
0.5967,0.1472
0.5967,0.1523
0.5967,0.1574
0.5967,0.1624
0.5967,0.7614
0.5967,0.7665
0.5967,0.7716
0.5967,0.7766
0.5967,0.7817
0.5967,0.7868
0.6022,0.7614
0.6022,0.7665
0.6022,0.7716
0.6022,0.7766
0.6022,0.7817
0.6022,0.7868
0.6022,0.7919
0.6077,0.7716
0.6077,0.7766
0.6077,0.7817
0.6077,0.7868
0.6077,0.7919
0.6133,0.7766
0.6133,0.7817
0.6133,0.7868
0.6133,0.7919
0.6133,0.797
0.6188,0.7766
0.6188,0.7817
0.6188,0.7868
0.6188,0.7919
0.6188,0.797
0.6188,0.802
0.6243,0.7817
0.6243,0.7868
0.6243,0.7919
0.6243,0.797
0.6243,0.802
0.6243,0.8071
0.6298,0.7868
0.6298,0.7919
0.6298,0.797
0.6298,0.802
0.6298,0.8071
0.6298,0.8122
0.6354,0.7919
0.6354,0.797
0.6354,0.802
0.6354,0.8071
0.6354,0.8122
0.6409,0.797
0.6409,0.802
0.6409,0.8071
0.6409,0.8122
0.6409,0.8173
0.6464,0.797
0.6464,0.802
0.6464,0.8071
0.6464,0.8122
0.6464,0.8173
0.6464,0.8223
0.6519,0.802
0.6519,0.8071
0.6519,0.8122
0.6519,0.8173
0.6519,0.8223
0.6519,0.8274
0.6575,0.8071
0.6575,0.8122
0.6575,0.8173
0.6575,0.8223
0.6575,0.8274
0.6575,0.8325
0.663,0.8122
0.663,0.8173
0.663,0.8223
0.663,0.8274
0.663,0.8325
0.663,0.8376
0.6685,0.8122
0.6685,0.8173
0.6685,0.8223
0.6685,0.8274
0.6685,0.8325
0.6685,0.8376
0.674,0.8173
0.674,0.8223
0.674,0.8274
0.674,0.8325
0.674,0.8376
0.6796,0.8173
0.6796,0.8223
0.6796,0.8274
0.6796,0.8325
0.6796,0.8376
0.6796,0.8426
0.6851,0.8223
0.6851,0.8274
0.6851,0.8325
0.6851,0.8376
0.6851,0.8426
0.6851,0.8477
0.6906,0.8274
0.6906,0.8325
0.6906,0.8376
0.6906,0.8426
0.6906,0.8477
0.6961,0.8325
0.6961,0.8376
0.6961,0.8426
0.6961,0.8477
0.6961,0.8528
0.7017,0.8376
0.7017,0.8426
0.7017,0.8477
0.7017,0.8528
0.7017,0.8579
0.7072,0.8376
0.7072,0.8426
0.7072,0.8477
0.7072,0.8528
0.7072,0.8579
0.7127,0.8426
0.7127,0.8477
0.7127,0.8528
0.7127,0.8579
0.7127,0.8629
0.7182,0.8426
0.7182,0.8477
0.7182,0.8528
0.7182,0.8579
0.7182,0.8629
0.7182,0.868
0.7238,0.8477
0.7238,0.8528
0.7238,0.8579
0.7238,0.8629
0.7238,0.868
0.7293,0.8528
0.7293,0.8579
0.7293,0.8629
0.7293,0.868
0.7293,0.8731
0.7348,0.8528
0.7348,0.8579
0.7348,0.8629
0.7348,0.868
0.7348,0.8731
0.7403,0.8579
0.7403,0.8629
0.7403,0.868
0.7403,0.8731
0.7403,0.8782
0.7459,0.8579
0.7459,0.8629
0.7459,0.868
0.7459,0.8731
0.7459,0.8782
0.7459,0.8832
0.7514,0.8629
0.7514,0.868
0.7514,0.8731
0.7514,0.8782
0.7514,0.8832
0.7569,0.868
0.7569,0.8731
0.7569,0.8782
0.7569,0.8832
0.7569,0.8883
0.7624,0.868
0.7624,0.8731
0.7624,0.8782
0.7624,0.8832
0.7624,0.8883
0.768,0.8731
0.768,0.8782
0.768,0.8832
0.768,0.8883
0.768,0.8934
0.7735,0.8731
0.7735,0.8782
0.7735,0.8832
0.7735,0.8883
0.7735,0.8934
0.779,0.8782
0.779,0.8832
0.779,0.8883
0.779,0.8934
0.779,0.8985
0.7845,0.8782
0.7845,0.8832
0.7845,0.8883
0.7845,0.8934
0.7845,0.8985
0.7901,0.8832
0.7901,0.8883
0.7901,0.8934
0.7901,0.8985
0.7901,0.9036
0.7956,0.8832
0.7956,0.8883
0.7956,0.8934
0.7956,0.8985
0.7956,0.9036
0.8011,0.8883
0.8011,0.8934
0.8011,0.8985
0.8011,0.9036
0.8011,0.9086
0.8066,0.8883
0.8066,0.8934
0.8066,0.8985
0.8066,0.9036
0.8066,0.9086
0.8122,0.8883
0.8122,0.8934
0.8122,0.8985
0.8122,0.9036
0.8122,0.9086
0.8177,0.8934
0.8177,0.8985
0.8177,0.9036
0.8177,0.9086
0.8177,0.9137
0.8232,0.8934
0.8232,0.8985
0.8232,0.9036
0.8232,0.9086
0.8232,0.9137
0.8287,0.8985
0.8287,0.9036
0.8287,0.9086
0.8287,0.9137
0.8287,0.9188
0.8343,0.9036
0.8343,0.9086
0.8343,0.9137
0.8343,0.9188
0.8398,0.9036
0.8398,0.9086
0.8398,0.9137
0.8398,0.9188
0.8398,0.9239
0.8453,0.9036
0.8453,0.9086
0.8453,0.9137
0.8453,0.9188
0.8453,0.9239
0.8508,0.9086
0.8508,0.9137
0.8508,0.9188
0.8508,0.9239
0.8508,0.9289
0.8564,0.9086
0.8564,0.9137
0.8564,0.9188
0.8564,0.9239
0.8564,0.9289
0.8619,0.9137
0.8619,0.9188
0.8619,0.9239
0.8619,0.9289
0.8674,0.9137
0.8674,0.9188
0.8674,0.9239
0.8674,0.9289
0.8674,0.934
0.8729,0.9188
0.8729,0.9239
0.8729,0.9289
0.8729,0.934
0.8785,0.9188
0.8785,0.9239
0.8785,0.9289
0.8785,0.934
0.8785,0.9391
0.884,0.9188
0.884,0.9239
0.884,0.9289
0.884,0.934
0.884,0.9391
0.8895,0.9239
0.8895,0.9289
0.8895,0.934
0.8895,0.9391
0.8895,0.9442
0.895,0.9239
0.895,0.9289
0.895,0.934
0.895,0.9391
0.895,0.9442
0.9006,0.9239
0.9006,0.9289
0.9006,0.934
0.9006,0.9391
0.9006,0.9442
0.9061,0.9289
0.9061,0.934
0.9061,0.9391
0.9061,0.9442
0.9061,0.9492
0.9116,0.9289
0.9116,0.934
0.9116,0.9391
0.9116,0.9442
0.9116,0.9492
0.9171,0.934
0.9171,0.9391
0.9171,0.9442
0.9171,0.9492
0.9171,0.9543
0.9227,0.934
0.9227,0.9391
0.9227,0.9442
0.9227,0.9492
0.9227,0.9543
0.9282,0.9391
0.9282,0.9442
0.9282,0.9492
0.9282,0.9543
0.9337,0.9391
0.9337,0.9442
0.9337,0.9492
0.9337,0.9543
0.9392,0.9391
0.9392,0.9442
0.9392,0.9492
0.9392,0.9543
0.9392,0.9594
0.9448,0.9391
0.9448,0.9442
0.9448,0.9492
0.9448,0.9543
0.9448,0.9594
0.9503,0.9391
0.9503,0.9442
0.9503,0.9492
0.9503,0.9543
0.9503,0.9594
0.9558,0.9442
0.9558,0.9492
0.9558,0.9543
0.9558,0.9594
0.9558,0.9645
0.9613,0.9442
0.9613,0.9492
0.9613,0.9543
0.9613,0.9594
0.9613,0.9645
0.9669,0.9492
0.9669,0.9543
0.9669,0.9594
0.9669,0.9645
0.9724,0.9492
0.9724,0.9543
0.9724,0.9594
0.9724,0.9645
0.9724,0.9695
0.9779,0.9543
0.9779,0.9594
0.9779,0.9645
0.9779,0.9695
0.9834,0.9543
0.9834,0.9594
0.9834,0.9645
0.9834,0.9695
0.989,0.9543
0.989,0.9594
0.989,0.9645
0.989,0.9695
0.989,0.9746
0.9945,0.9543
0.9945,0.9594
0.9945,0.9645
0.9945,0.9695
0.9945,0.9746
1.0,0.9645
1.0,0.9695
